"DateTime","Price","Out","At","In"
"2021-04-17 00:00:00",61127.07,690309,1094814,36492539
"2021-04-18 00:00:00",56589.22,4223646,3699985,30459847
"2021-04-19 00:00:00",55940.86,3840171,2026869,32618382
"2021-04-20 00:00:00",55265.39,4975728,1305491,32359405
"2021-04-21 00:00:00",55221.38,3488247,2613710,32665587
"2021-04-22 00:00:00",52989.2,6392595,620236,31924375
"2021-04-23 00:00:00",49804,7408450,234884,31293000
"2021-04-24 00:00:00",49996.67,6751935,1154564,31094006
"2021-04-25 00:00:00",48824.74,7960562,3469016,27496527
"2021-04-26 00:00:00",51616.56,4170818,2180907,32440057
"2021-04-27 00:00:00",54424.27,4456359,1545078,32866561
"2021-04-28 00:00:00",55174.09,3335207,2321655,33217162
"2021-04-29 00:00:00",53808.33,3682695,2191222,32972508
"2021-04-30 00:00:00",55537.13,0,4158026,34758111
"2021-05-01 00:00:00",57778.03,1231400,2398975,35261471
"2021-05-02 00:00:00",57013.77,1187869,2807337,34861303
"2021-05-03 00:00:00",57747.72,1326134,3181516,34007376
"2021-05-04 00:00:00",55167.43,1454732,3717548,33188368
"2021-05-05 00:00:00",55461.5,4103575,2279805,31850672
"2021-05-06 00:00:00",56846.08,1083669,3448241,33684439
"2021-05-07 00:00:00",57003.23,1609114,3971589,32641669
"2021-05-08 00:00:00",58253.57,953734,3513514,33757402
"2021-05-09 00:00:00",57813.99,483708,2304027,35413608
"2021-05-10 00:00:00",56913.1,629958,3545420,33833809
"2021-05-11 00:00:00",55709.38,2562581,3503272,31854192
"2021-05-12 00:00:00",53594.17,5505529,1857722,30568105
"2021-05-13 00:00:00",49203.86,7336926,1126587,29479606
"2021-05-14 00:00:00",50232.36,6730519,1438777,29789535
"2021-05-15 00:00:00",48658.12,6563273,1705081,29749287
"2021-05-16 00:00:00",46863.76,7845210,1130213,29038004
"2021-05-17 00:00:00",44398.01,9011929,2395137,26530644
"2021-05-18 00:00:00",44064.38,8691483,432809,28870871
"2021-05-19 00:00:00",36744.77,9290390,2142398,26650573
"2021-05-20 00:00:00",38764.64,9200897,979266,28006206
"2021-05-21 00:00:00",37902.44,9069668,2459964,26769847
"2021-05-22 00:00:00",37064.82,8939158,1506402,27971469
"2021-05-23 00:00:00",34730.87,10469450,1074214,26881099
"2021-05-24 00:00:00",37206.34,7799782,1909033,28588703
"2021-05-25 00:00:00",38175.99,8282634,1241378,28758932
"2021-05-26 00:00:00",39355.31,8237071,1896182,28140345
"2021-05-27 00:00:00",38810.39,8085285,1418911,28802733
"2021-05-28 00:00:00",36806.68,8010831,2167003,28188721
"2021-05-29 00:00:00",35486.58,9190477,1644922,27491109
"2021-05-30 00:00:00",34941.14,9992137,1063476,27207238
"2021-05-31 00:00:00",35857.83,8841876,1770348,27392921
"2021-06-01 00:00:00",36821.85,7816162,1912964,28191978
"2021-06-02 00:00:00",37080.26,8186594,2128258,27611464
"2021-06-03 00:00:00",38341.19,7551751,2076822,28211546
"2021-06-04 00:00:00",37445.26,7231448,1502475,29103298
"2021-06-05 00:00:00",36378.96,7664272,2419535,27764071
"2021-06-06 00:00:00",35859.07,8566514,2029785,27276858
"2021-06-07 00:00:00",35078.76,8150387,2392569,27316238
"2021-06-08 00:00:00",32547.72,9867772,1040928,26957070
"2021-06-09 00:00:00",34981.8,7217094,2873109,27748087
"2021-06-10 00:00:00",37104.13,7163570,2290057,28463347
"2021-06-11 00:00:00",36823.85,7298810,3095945,27600154
"2021-06-12 00:00:00",36050.27,7077024,2801949,28194256
"2021-06-13 00:00:00",37088.46,7891032,2806357,27241813
"2021-06-14 00:00:00",39890.6,6694185,1819121,29360284
"2021-06-15 00:00:00",40416.88,6558715,881384,30428587
"2021-06-16 00:00:00",39305.01,6583049,1441865,29893332
"2021-06-17 00:00:00",38461.99,6821598,2713852,28390525
"2021-06-18 00:00:00",36680.06,7043800,2564970,28339427
"2021-06-19 00:00:00",35653.21,8380601,2430439,27152487
"2021-06-20 00:00:00",34758.88,8843461,2077826,27087669
"2021-06-21 00:00:00",33522.66,10951201,1038164,26040444
"2021-06-22 00:00:00",31110.47,11217851,456938,26373198
"2021-06-23 00:00:00",33310.98,10823637,895649,26403067
"2021-06-24 00:00:00",33804.03,9890329,1409815,26875329
"2021-06-25 00:00:00",33392.38,10850581,1267687,26070896
"2021-06-26 00:00:00",31435.74,11176988,623314,26337648
"2021-06-27 00:00:00",33392.82,10309537,1480003,26367657
"2021-06-28 00:00:00",34591.71,8817380,2261157,27152820
"2021-06-29 00:00:00",35434.29,8904917,2341188,27098060
"2021-06-30 00:00:00",35076.21,7664684,2753883,27993684
"2021-07-01 00:00:00",33911.37,8636888,2319878,27537222
"2021-07-02 00:00:00",33341.82,9405404,2347431,26856852
"2021-07-03 00:00:00",34138.98,9254219,2529563,26837248
"2021-07-04 00:00:00",35168.16,8511541,2981253,26978569
"2021-07-05 00:00:00",34221.16,8333415,2392232,27600900
"2021-07-06 00:00:00",34327.7,8932756,2501911,26759015
"2021-07-07 00:00:00",34437.12,8529521,2787990,26882059
"2021-07-08 00:00:00",33021.49,9179356,2326994,26713657
"2021-07-09 00:00:00",33175.4,10309387,1385838,26553172
"2021-07-10 00:00:00",33641.83,8838793,2591731,26798397
"2021-07-11 00:00:00",33965.55,9128601,2447044,26676873
"2021-07-12 00:00:00",33659.42,8396721,2981817,26809392
"2021-07-13 00:00:00",32770.84,9686161,1991154,26504984
"2021-07-14 00:00:00",32350.6,10054818,1606374,26492774
"2021-07-15 00:00:00",32161.15,9857507,1815569,26476082
"2021-07-16 00:00:00",31651.54,10822020,1148321,26179181
"2021-07-17 00:00:00",31580.21,10974576,1039215,26167085
"2021-07-18 00:00:00",31788.92,10778786,1263099,26162368
"2021-07-19 00:00:00",31197.14,10565483,1454946,26154963
"2021-07-20 00:00:00",30191.99,11042972,936566,26140720
"2021-07-21 00:00:00",31164,8006544,3717367,26398580
"2021-07-22 00:00:00",32171.44,10122799,1254432,26754674
"2021-07-23 00:00:00",32825.28,10049656,1249558,26841809
"2021-07-24 00:00:00",33974.42,8721863,1757741,27698983
"2021-07-25 00:00:00",34637.49,7799828,1838568,28009999
"2021-07-26 00:00:00",37912.05,6046396,1503061,30104251
"2021-07-27 00:00:00",37978.98,6301818,1213171,30097867
"2021-07-28 00:00:00",39857.99,5562984,1010580,31048748
"2021-07-29 00:00:00",39957.73,5543823,1073448,31007542
"2021-07-30 00:00:00",40323.97,5519703,1098629,31056694
"2021-07-31 00:00:00",41719.6,5432826,366709,31922489
"2021-08-01 00:00:00",41028.1,5478944,1029160,31235044
"2021-08-02 00:00:00",39572.31,5799254,1453518,30425138
"2021-08-03 00:00:00",38729.34,6337684,1350465,30020984
"2021-08-04 00:00:00",38743.68,6261576,1501221,29946690
"2021-08-05 00:00:00",39369.59,5672475,2051070,30025878
"2021-08-06 00:00:00",41629.34,5328422,700535,31734930
"2021-08-07 00:00:00",43602.54,5124230,506463,32166756
"2021-08-08 00:00:00",44305.46,5041606,669148,32069122
"2021-08-09 00:00:00",44647.04,5019059,835406,31887425
"2021-08-10 00:00:00",45685.38,4735820,921958,32097086
"2021-08-11 00:00:00",46062.2,4673603,929430,32199048
"2021-08-12 00:00:00",45000.31,4922596,1220397,31685975
"2021-08-13 00:00:00",46075.59,4653149,1274623,31935513
"2021-08-14 00:00:00",47092.77,4382581,1258460,32281666
"2021-08-15 00:00:00",46493.08,4505821,1424532,31949272
"2021-08-16 00:00:00",46872.76,4398387,1560351,31882504
"2021-08-17 00:00:00",45769.88,4645274,1790621,31387534
"2021-08-18 00:00:00",45132.94,5217189,1540490,31089876
"2021-08-19 00:00:00",45513.13,4946685,1854431,31065148
"2021-08-20 00:00:00",48014.75,4002942,1300970,32576135
"2021-08-21 00:00:00",49069.93,3614712,1332021,32960154
"2021-08-22 00:00:00",48816.09,3702117,1482982,32703471
"2021-08-23 00:00:00",49781.04,3501019,1386709,32958912
"2021-08-24 00:00:00",48720.32,3694044,1747682,32370583
"2021-08-25 00:00:00",48196.41,4100364,1619891,32148195
"2021-08-26 00:00:00",47907.44,4191058,1823625,31917500
"2021-08-27 00:00:00",47771.56,4293190,1899205,31786217
"2021-08-28 00:00:00",48846.69,3656875,2160523,32202972
"2021-08-29 00:00:00",48747.49,3699075,2213241,32137035
"2021-08-30 00:00:00",47875.29,4209185,2161902,31638510
"2021-08-31 00:00:00",47483.23,4834713,1812335,31387359
"2021-09-01 00:00:00",47803.4,4176661,2392276,31500360
"2021-09-02 00:00:00",49503.8,3462991,1636865,32981465
"2021-09-03 00:00:00",49709.36,3409056,1838190,32799583
"2021-09-04 00:00:00",50025.24,3361606,1475092,33254220
"2021-09-05 00:00:00",50694.73,3304432,1144982,33657761
"2021-09-06 00:00:00",51900.92,3183631,465746,34390142
"2021-09-07 00:00:00",48411.83,4466521,2235472,31359043
"2021-09-08 00:00:00",45919.06,6592051,1287279,30219194
"2021-09-09 00:00:00",46453.8,6124893,1670258,30364627
"2021-09-10 00:00:00",45612.47,6481410,1622834,30073889
"2021-09-11 00:00:00",45364.81,6536608,1662463,29927763
"2021-09-12 00:00:00",45584.66,6358778,1794234,30006160
"2021-09-13 00:00:00",45166.57,6593466,1679184,29839489
"2021-09-14 00:00:00",46019.97,5932684,2138242,30016166
"2021-09-15 00:00:00",47591.23,4629678,1983110,31444726
"2021-09-16 00:00:00",47774.53,4386182,2181140,31435744
"2021-09-17 00:00:00",47471.34,4754333,2139957,31103365
"2021-09-18 00:00:00",47937.24,4210473,2424881,31357752
"2021-09-19 00:00:00",47620.4,4565503,2279015,31178598
"2021-09-20 00:00:00",44946.56,7023453,1390283,29519070
"2021-09-21 00:00:00",41696.55,8251409,551514,29151360
"2021-09-22 00:00:00",42300.65,8071703,712937,29189394
"2021-09-23 00:00:00",44051.3,7232303,1042068,29721985
"2021-09-24 00:00:00",42975.19,7684927,922180,29382559
"2021-09-25 00:00:00",42351.51,7911497,1024870,29130648
"2021-09-26 00:00:00",42376.95,7831825,1141261,29113014
"2021-09-27 00:00:00",43249.83,7374181,1396782,29317981
"2021-09-28 00:00:00",41852.69,7861723,1165115,29008489
"2021-09-29 00:00:00",41696.93,7900647,1173346,28985049
"2021-09-30 00:00:00",42771.7,7411759,1562189,29028631
"2021-10-01 00:00:00",45887.48,5509471,1937401,30617370
"2021-10-02 00:00:00",47908.09,3822878,2419931,31769945
"2021-10-03 00:00:00",48161.21,3585755,2633962,31796996
"2021-10-04 00:00:00",48222.75,3489490,2757477,31669799
"2021-10-05 00:00:00",50486.38,2872972,1561208,33462320
"2021-10-06 00:00:00",53048,2353630,1069448,34562891
"2021-10-07 00:00:00",54411.17,1695145,1738241,34552139
"2021-10-08 00:00:00",54857,1648579,1697671,34665073
"2021-10-09 00:00:00",54590.76,1652423,1949272,34294244
"2021-10-10 00:00:00",55302.58,1304019,2030809,34556652
"2021-10-11 00:00:00",56137.33,921107,2232987,34695261
"2021-10-12 00:00:00",55872.58,1095217,2429849,34350465
"2021-10-13 00:00:00",56024.3,1086514,2519260,34230265
"2021-10-14 00:00:00",57684.57,359609,2049919,35414251
"2021-10-15 00:00:00",59887.82,162379,1068792,36668715
"2021-10-16 00:00:00",61247.63,0,940674,36990180
"2021-10-17 00:00:00",60374.2,87272,1177733,36647329
"2021-10-18 00:00:00",61294.33,0,1219409,36700249
"2021-10-19 00:00:00",62939.41,0,869772,37017111
"2021-10-20 00:00:00",65262.18,0,367751,37588267
"2021-10-21 00:00:00",64360.95,0,832575,37069622
"2021-10-22 00:00:00",61874.2,398769,1109568,36392845
"2021-10-23 00:00:00",60719.27,591292,1284308,36083105
"2021-10-24 00:00:00",60505.3,564671,1438423,36017831
"2021-10-25 00:00:00",62184.16,284942,1175294,36486890
"2021-10-26 00:00:00",61579.36,274241,1626603,36064859
"2021-10-27 00:00:00",59800.59,1054584,1621352,35338403
"2021-10-28 00:00:00",60198.76,780387,1656359,35587214
"2021-10-29 00:00:00",61618.71,226461,1836644,36023188
"2021-10-30 00:00:00",61572.95,218226,2002900,35927097
"2021-10-31 00:00:00",61221.32,390690,1966167,35745012
"2021-11-01 00:00:00",61018.6,381110,2148893,35556297
"2021-11-02 00:00:00",62480.53,88512,1135748,36893467
"2021-11-03 00:00:00",62305.71,86876,1745683,36260930
"2021-11-04 00:00:00",61924.35,356816,2383705,35380811
"2021-11-05 00:00:00",61705.57,689243,2112858,35296316
"2021-11-06 00:00:00",60862.51,400332,2478610,35300744
"2021-11-07 00:00:00",62358.07,81131,1889574,36220712
"2021-11-08 00:00:00",65529.12,454262,5705936,32094094
"2021-11-09 00:00:00",67413.34,0,662669,37531685
"2021-11-10 00:00:00",66087.45,415940,772961,37057052
"2021-11-11 00:00:00",64858.02,355437,1190439,36683128
"2021-11-12 00:00:00",63890.51,330371,1456264,36478570
"2021-11-13 00:00:00",64187.16,305492,1614060,36425448
"2021-11-14 00:00:00",64562.7,120927,1427876,36843800
"2021-11-15 00:00:00",64889,336772,1910405,36084311
"2021-11-16 00:00:00",61180.12,1981917,1906559,34451860
"2021-11-17 00:00:00",59701.57,1760628,2067832,34511574
"2021-11-18 00:00:00",58749.99,3582929,2234121,32569868
"2021-11-19 00:00:00",57029.48,3208879,1941863,33291928
"2021-11-20 00:00:00",58676.27,1754089,2404689,34346654
"2021-11-21 00:00:00",59317.13,2540115,2228004,33727280
"2021-11-22 00:00:00",57532.5,4114131,2179067,32246432
"2021-11-23 00:00:00",56679.68,3163130,2574170,32897629
"2021-11-24 00:00:00",56820.11,3278084,2686227,32646809
"2021-11-25 00:00:00",58246.84,2428794,2589048,33697092
"2021-11-26 00:00:00",56388.75,0,5787977,32974539
"2021-11-27 00:00:00",54492.8,5419825,1879566,31561614
"2021-11-28 00:00:00",55455.66,3025025,2955429,32876967
"2021-11-29 00:00:00",57825.47,2763829,3062900,33066934
"2021-11-30 00:00:00",57578.83,2963407,3574878,32444965
"2021-12-01 00:00:00",57801.26,2873342,3495169,32631829
"2021-12-02 00:00:00",56629.94,3369267,3318874,32242797
"2021-12-03 00:00:00",55066.19,5915566,1702682,31350381
"2021-12-04 00:00:00",48717.13,7589679,1975463,29476192
"2021-12-05 00:00:00",48802.47,7328886,2104000,29489683
"2021-12-06 00:00:00",49123.11,6893536,2022984,29934771
"2021-12-07 00:00:00",51018.3,6748283,2149812,29988156
"2021-12-08 00:00:00",49963.73,6675963,2206860,30059401
"2021-12-09 00:00:00",49088.57,7746227,2432563,28686751
"2021-12-10 00:00:00",48518.63,8307739,2112284,28543127
"2021-12-11 00:00:00",48166.96,6655366,2748606,29612698
"2021-12-12 00:00:00",49748.5,6398138,2572069,30140483
"2021-12-13 00:00:00",48007.97,8644985,2230485,28250606
"2021-12-14 00:00:00",47493.02,6955704,3422881,28769289
"2021-12-15 00:00:00",48031.01,6503862,3432497,29157241
"2021-12-16 00:00:00",48498.78,7299279,3397375,28485413
"2021-12-17 00:00:00",46754.7,8700313,2363875,28102732
"2021-12-18 00:00:00",46439.8,8140678,2718274,28331409
"2021-12-19 00:00:00",47372.98,8163215,2821052,28283594
"2021-12-20 00:00:00",46541.11,7970698,2935303,28314581
"2021-12-21 00:00:00",47997.96,6167798,3101389,29998726
"2021-12-22 00:00:00",49020.92,6368626,3528738,29380457
"2021-12-23 00:00:00",49722.57,5812229,2140060,31377536
"2021-12-24 00:00:00",51156.46,5775918,2350839,31235220
"2021-12-25 00:00:00",50679.06,5759810,2698575,30898244
"2021-12-26 00:00:00",50384.66,5729839,2252847,31459787
"2021-12-27 00:00:00",51280.36,5690387,2596693,31167143
"2021-12-28 00:00:00",49018.16,7756813,3329637,28383853
"2021-12-29 00:00:00",47126.57,8848450,2493073,28057928
"2021-12-30 00:00:00",46941.09,8294691,2898843,28247777
"2021-12-31 00:00:00",47119.33,8737171,2651093,27945703
"2022-01-01 00:00:00",47073.16,7111953,3933953,28334632
"2022-01-02 00:00:00",47322.72,7792467,3413601,28214050
"2022-01-03 00:00:00",46639.89,8412307,2897510,28083162
"2022-01-04 00:00:00",46558.7,9226727,2340898,27836911
"2022-01-05 00:00:00",44789.02,11154683,862713,27375905
"2022-01-06 00:00:00",43124,11140373,995458,27289599
"2022-01-07 00:00:00",41944.61,11697865,677700,27031532
"2022-01-08 00:00:00",41420.57,11455077,892222,27093380
"2022-01-09 00:00:00",42018.9,11347231,1076080,27089078
"2022-01-10 00:00:00",40959.34,11226448,1201058,27080497
"2022-01-11 00:00:00",42200.88,10950326,1443706,27141160
"2022-01-12 00:00:00",43382.46,10312071,1106663,28106435
"2022-01-13 00:00:00",43388.71,10859985,1482782,27237213
"2022-01-14 00:00:00",42626.25,10460662,1473112,27643902
"2022-01-15 00:00:00",43200.88,10409750,1631838,27622379
"2022-01-16 00:00:00",43050.64,10373851,1759304,27593330
"2022-01-17 00:00:00",42384.86,10710715,1875580,27086362
"2022-01-18 00:00:00",41991.89,10614076,2010377,27080199
"2022-01-19 00:00:00",41860.06,11153909,1544078,27000558
"2022-01-20 00:00:00",42038.73,10163895,2055039,27517233
"2022-01-21 00:00:00",38305.54,10134956,3112928,26515641
"2022-01-22 00:00:00",35471.1,13817965,1066633,24847202
"2022-01-23 00:00:00",35593.79,13039358,1196174,25538698
"2022-01-24 00:00:00",35229.96,14124873,1911151,23722840
"2022-01-25 00:00:00",36643.7,12691852,1437165,25666776
"2022-01-26 00:00:00",37603.14,12291298,1531159,26025218
"2022-01-27 00:00:00",36393.37,12489812,1678070,25695860
"2022-01-28 00:00:00",37098.92,12113679,1594493,26181271
"2022-01-29 00:00:00",38035.87,11914247,1476916,26541110
"2022-01-30 00:00:00",37871.02,11979050,1756087,26241594
"2022-01-31 00:00:00",37715.25,11703462,1511260,26750892
"2022-02-01 00:00:00",38657.52,11505119,1693417,26705835
"2022-02-02 00:00:00",37767,12519110,1840445,25544019
"2022-02-03 00:00:00",36840.99,12365189,2016730,25536497
"2022-02-04 00:00:00",39399.01,11547457,4607705,23860489
"2022-02-05 00:00:00",41458.85,9992553,1788277,28268954
"2022-02-06 00:00:00",41911.93,9470302,2063849,28429175
"2022-02-07 00:00:00",43103.94,8981047,1816781,29203148
"2022-02-08 00:00:00",44094.02,8845716,1783724,29362148
"2022-02-09 00:00:00",44008.56,8736116,1911335,29329079
"2022-02-10 00:00:00",44545.72,8880354,2389705,28685722
"2022-02-11 00:00:00",42980.75,9577048,2441394,27956974
"2022-02-12 00:00:00",42408.76,9637209,2322296,27795784
"2022-02-13 00:00:00",42336.83,9587315,2444056,27764101
"2022-02-14 00:00:00",42219.28,9270209,2733968,27806194
"2022-02-15 00:00:00",43611.97,8346171,1924664,29493550
"2022-02-16 00:00:00",43972.06,8475114,2422763,28917794
"2022-02-17 00:00:00",42145.96,11236296,1494547,27118712
"2022-02-18 00:00:00",40238.68,11441721,1571413,26853949
"2022-02-19 00:00:00",40064.67,11221652,1676072,26933465
"2022-02-20 00:00:00",39081.48,12316554,1454688,26107360
"2022-02-21 00:00:00",38178.93,12971789,1711822,25210273
"2022-02-22 00:00:00",37414.97,12056768,1978256,25876801
"2022-02-23 00:00:00",38172.17,12308523,2351958,25281427
"2022-02-24 00:00:00",36766.01,14101594,1990253,23862295
"2022-02-25 00:00:00",38876.89,11172004,2143816,26679410
"2022-02-26 00:00:00",39416.89,11247878,2281438,26486129
"2022-02-27 00:00:00",38450.81,12020994,2690011,25357826
"2022-02-28 00:00:00",40713.61,11214016,4948145,23941747
"2022-03-01 00:00:00",43888.3,7773639,2617228,29724303
"2022-03-02 00:00:00",44228.85,8053572,2950781,29078492
"2022-03-03 00:00:00",42965.82,8704304,3051294,28325711
"2022-03-04 00:00:00",40571.1,11362064,2529916,26201887
"2022-03-05 00:00:00",39124.7,11237778,2626546,26276684
"2022-03-06 00:00:00",38910.29,11713267,2870307,25579593
"2022-03-07 00:00:00",38364.07,11746435,3095856,25324771
"2022-03-08 00:00:00",38633.38,11279458,2909817,25955654
"2022-03-09 00:00:00",40621.96,9078858,2571310,28563975
"2022-03-10 00:00:00",40448.5,11057347,2941554,26200216
"2022-03-11 00:00:00",39241.59,11199424,3343267,25698258
"2022-03-12 00:00:00",39055.27,11055909,3307480,25912802
"2022-03-13 00:00:00",38443.99,11544035,3610587,25155733
"2022-03-14 00:00:00",38684.71,10773325,3061158,26494328
"2022-03-15 00:00:00",39061.83,10753473,3476756,26138767
"2022-03-16 00:00:00",40285.89,9367135,3147259,27885504
"2022-03-17 00:00:00",41011.22,9382764,3353041,27708356
"2022-03-18 00:00:00",41240.52,8852323,3104940,28529278
"2022-03-19 00:00:00",41958.58,8580200,3230383,28715518
"2022-03-20 00:00:00",41638.28,9261831,3167912,28146254
"2022-03-21 00:00:00",41032.8,9302772,3649083,27640151
"2022-03-22 00:00:00",42105.65,8374285,3615478,28665506
"2022-03-23 00:00:00",42414.07,8055101,3880790,28716186
"2022-03-24 00:00:00",43442.19,7714694,3048135,29932484
"2022-03-25 00:00:00",44370.88,7574165,2655929,30471189
"2022-03-26 00:00:00",44459.67,7372445,2821297,30574779
"2022-03-27 00:00:00",45673.01,5847832,2424038,32544682
"2022-03-28 00:00:00",47438.84,5145360,3132635,32513955
"2022-03-29 00:00:00",47536.77,5141887,3325461,32368923
"2022-03-30 00:00:00",47148.8,5871761,2758542,32225456
"2022-03-31 00:00:00",46410.14,7419893,2340046,31160137
"2022-04-01 00:00:00",45491.43,6247248,2902574,31788654
"2022-04-02 00:00:00",46432,6847710,2808552,31288231
"2022-04-03 00:00:00",46499.09,6258709,2931855,31788892
"2022-04-04 00:00:00",46014.87,6059670,3160040,31762741
"2022-04-05 00:00:00",46285.25,7268908,2669974,31096640
"2022-04-06 00:00:00",44324.04,9509057,2555736,28996822
"2022-04-07 00:00:00",43330.58,9125920,2866391,29095521
"2022-04-08 00:00:00",43052.91,10368253,2377307,28400305
"2022-04-09 00:00:00",42474.54,9928275,2497078,28759543
"2022-04-10 00:00:00",42682.04,10241123,2602751,28373693
"2022-04-11 00:00:00",40826.13,10650924,2277300,28285850
"2022-04-12 00:00:00",39970.4,12331076,1836151,27022083
"2022-04-13 00:00:00",40564.96,11390391,1910478,27911935
"2022-04-14 00:00:00",40545.35,12587861,1754345,26911831
"2022-04-15 00:00:00",40289.98,11811604,2120232,27387411
"2022-04-16 00:00:00",40358.55,11884227,2241523,27261819
"2022-04-17 00:00:00",40083.27,12408211,2346313,26676103
"2022-04-18 00:00:00",39832.8,11372191,2275586,27748423
