"DateTime","Number of Large Transactions","Price"
"2021-04-18 00:00:00",26335,56589.22
"2021-04-19 00:00:00",24067,55940.86
"2021-04-20 00:00:00",28286,55265.39
"2021-04-21 00:00:00",24989,55221.38
"2021-04-22 00:00:00",28151,52989.2
"2021-04-23 00:00:00",28999,49804
"2021-04-24 00:00:00",18911,49996.67
"2021-04-25 00:00:00",18076,48824.74
"2021-04-26 00:00:00",25114,51616.56
"2021-04-27 00:00:00",26455,54424.27
"2021-04-28 00:00:00",24669,55174.09
"2021-04-29 00:00:00",24810,53808.33
"2021-04-30 00:00:00",26472,55537.13
"2021-05-01 00:00:00",21595,57778.03
"2021-05-02 00:00:00",19255,57013.77
"2021-05-03 00:00:00",27150,57747.72
"2021-05-04 00:00:00",27895,55167.43
"2021-05-05 00:00:00",27860,55461.5
"2021-05-06 00:00:00",27955,56846.08
"2021-05-07 00:00:00",27155,57003.23
"2021-05-08 00:00:00",23402,58253.57
"2021-05-09 00:00:00",22096,57813.99
"2021-05-10 00:00:00",30089,56913.1
"2021-05-11 00:00:00",27627,55709.38
"2021-05-12 00:00:00",26830,53594.17
"2021-05-13 00:00:00",28792,49203.86
"2021-05-14 00:00:00",25156,50232.36
"2021-05-15 00:00:00",20343,48658.12
"2021-05-16 00:00:00",19328,46863.76
"2021-05-17 00:00:00",25917,44398.01
"2021-05-18 00:00:00",23052,44064.38
"2021-05-19 00:00:00",31056,36744.77
"2021-05-20 00:00:00",26705,38764.64
"2021-05-21 00:00:00",22974,37902.44
"2021-05-22 00:00:00",17580,37064.82
"2021-05-23 00:00:00",17920,34730.87
"2021-05-24 00:00:00",23312,37206.34
"2021-05-25 00:00:00",22772,38175.99
"2021-05-26 00:00:00",21746,39355.31
"2021-05-27 00:00:00",20029,38810.39
"2021-05-28 00:00:00",20724,36806.68
"2021-05-29 00:00:00",15473,35486.58
"2021-05-30 00:00:00",13410,34941.14
"2021-05-31 00:00:00",18428,35857.83
"2021-06-01 00:00:00",19409,36821.85
"2021-06-02 00:00:00",19187,37080.26
"2021-06-03 00:00:00",19307,38341.19
"2021-06-04 00:00:00",17955,37445.26
"2021-06-05 00:00:00",13987,36378.96
"2021-06-06 00:00:00",12441,35859.07
"2021-06-07 00:00:00",18848,35078.76
"2021-06-08 00:00:00",19365,32547.72
"2021-06-09 00:00:00",17734,34981.8
"2021-06-10 00:00:00",20041,37104.13
"2021-06-11 00:00:00",17678,36823.85
"2021-06-12 00:00:00",14167,36050.27
"2021-06-13 00:00:00",12120,37088.46
"2021-06-14 00:00:00",18981,39890.6
"2021-06-15 00:00:00",18588,40416.88
"2021-06-16 00:00:00",18531,39305.01
"2021-06-17 00:00:00",18017,38461.99
"2021-06-18 00:00:00",16648,36680.06
"2021-06-19 00:00:00",13481,35653.21
"2021-06-20 00:00:00",13011,34758.88
"2021-06-21 00:00:00",18577,33522.66
"2021-06-22 00:00:00",18211,31110.47
"2021-06-23 00:00:00",17922,33310.98
"2021-06-24 00:00:00",16644,33804.03
"2021-06-25 00:00:00",17735,33392.38
"2021-06-26 00:00:00",13802,31435.74
"2021-06-27 00:00:00",11714,33392.82
"2021-06-28 00:00:00",18003,34591.71
"2021-06-29 00:00:00",18281,35434.29
"2021-06-30 00:00:00",16754,35076.21
"2021-07-01 00:00:00",17548,33911.37
"2021-07-02 00:00:00",15952,33341.82
"2021-07-03 00:00:00",14984,34138.98
"2021-07-04 00:00:00",14562,35168.16
"2021-07-05 00:00:00",16359,34221.16
"2021-07-06 00:00:00",17558,34327.7
"2021-07-07 00:00:00",17652,34437.12
"2021-07-08 00:00:00",17135,33021.49
"2021-07-09 00:00:00",16550,33175.4
"2021-07-10 00:00:00",13476,33641.83
"2021-07-11 00:00:00",11847,33965.55
"2021-07-12 00:00:00",16281,33659.42
"2021-07-13 00:00:00",17606,32770.84
"2021-07-14 00:00:00",17390,32350.6
"2021-07-15 00:00:00",16826,32161.15
"2021-07-16 00:00:00",15726,31651.54
"2021-07-17 00:00:00",12789,31580.21
"2021-07-18 00:00:00",10710,31788.92
"2021-07-19 00:00:00",14968,31197.14
"2021-07-20 00:00:00",17521,30191.99
"2021-07-21 00:00:00",17721,31164
"2021-07-22 00:00:00",15275,32171.44
"2021-07-23 00:00:00",16069,32825.28
"2021-07-24 00:00:00",13378,33974.42
"2021-07-25 00:00:00",11869,34637.49
"2021-07-26 00:00:00",22416,37912.05
"2021-07-27 00:00:00",19994,37978.98
"2021-07-28 00:00:00",20171,39857.99
"2021-07-29 00:00:00",17645,39957.73
"2021-07-30 00:00:00",18354,40323.97
"2021-07-31 00:00:00",14863,41719.6
"2021-08-01 00:00:00",14321,41028.1
"2021-08-02 00:00:00",18942,39572.31
"2021-08-03 00:00:00",18915,38729.34
"2021-08-04 00:00:00",19002,38743.68
"2021-08-05 00:00:00",18830,39369.59
"2021-08-06 00:00:00",19636,41629.34
"2021-08-07 00:00:00",16103,43602.54
"2021-08-08 00:00:00",14612,44305.46
"2021-08-09 00:00:00",20109,44647.04
"2021-08-10 00:00:00",21103,45685.38
"2021-08-11 00:00:00",21933,46062.2
"2021-08-12 00:00:00",21381,45000.31
"2021-08-13 00:00:00",21934,46075.59
"2021-08-14 00:00:00",16026,47092.77
"2021-08-15 00:00:00",14363,46493.08
"2021-08-16 00:00:00",20625,46872.76
"2021-08-17 00:00:00",19660,45769.88
"2021-08-18 00:00:00",20515,45132.94
"2021-08-19 00:00:00",19911,45513.13
"2021-08-20 00:00:00",20612,48014.75
"2021-08-21 00:00:00",16941,49069.93
"2021-08-22 00:00:00",14067,48816.09
"2021-08-23 00:00:00",22497,49781.04
"2021-08-24 00:00:00",21796,48720.32
"2021-08-25 00:00:00",21902,48196.41
"2021-08-26 00:00:00",20772,47907.44
"2021-08-27 00:00:00",20615,47771.56
"2021-08-28 00:00:00",16052,48846.69
"2021-08-29 00:00:00",15310,48747.49
"2021-08-30 00:00:00",22114,47875.29
"2021-08-31 00:00:00",21751,47483.23
"2021-09-01 00:00:00",23751,47803.4
"2021-09-02 00:00:00",22449,49503.8
"2021-09-03 00:00:00",23891,49709.36
"2021-09-04 00:00:00",17405,50025.24
"2021-09-05 00:00:00",16605,50694.73
"2021-09-06 00:00:00",22822,51900.92
"2021-09-07 00:00:00",24946,48411.83
"2021-09-08 00:00:00",25318,45919.06
"2021-09-09 00:00:00",24162,46453.8
"2021-09-10 00:00:00",22230,45612.47
"2021-09-11 00:00:00",16794,45364.81
"2021-09-12 00:00:00",15638,45584.66
"2021-09-13 00:00:00",22694,45166.57
"2021-09-14 00:00:00",21508,46019.97
"2021-09-15 00:00:00",24119,47591.23
"2021-09-16 00:00:00",23153,47774.53
"2021-09-17 00:00:00",22644,47471.34
"2021-09-18 00:00:00",16903,47937.24
"2021-09-19 00:00:00",15690,47620.4
"2021-09-20 00:00:00",24223,44946.56
"2021-09-21 00:00:00",23069,41696.55
"2021-09-22 00:00:00",21914,42300.65
"2021-09-23 00:00:00",21743,44051.3
"2021-09-24 00:00:00",24376,42975.19
"2021-09-25 00:00:00",18245,42351.51
"2021-09-26 00:00:00",15760,42376.95
"2021-09-27 00:00:00",22010,43249.83
"2021-09-28 00:00:00",20282,41852.69
"2021-09-29 00:00:00",19136,41696.93
"2021-09-30 00:00:00",22692,42771.7
"2021-10-01 00:00:00",23210,45887.48
"2021-10-02 00:00:00",18561,47908.09
"2021-10-03 00:00:00",17587,48161.21
"2021-10-04 00:00:00",22329,48222.75
"2021-10-05 00:00:00",26558,50486.38
"2021-10-06 00:00:00",26996,53048
"2021-10-07 00:00:00",28583,54411.17
"2021-10-08 00:00:00",25022,54857
"2021-10-09 00:00:00",20336,54590.76
"2021-10-10 00:00:00",18829,55302.58
"2021-10-11 00:00:00",26252,56137.33
"2021-10-12 00:00:00",25968,55872.58
"2021-10-13 00:00:00",24420,56024.3
"2021-10-14 00:00:00",27546,57684.57
"2021-10-15 00:00:00",30306,59887.82
"2021-10-16 00:00:00",23402,61247.63
"2021-10-17 00:00:00",19552,60374.2
"2021-10-18 00:00:00",26992,61294.33
"2021-10-19 00:00:00",28418,62939.41
"2021-10-20 00:00:00",29608,65262.18
"2021-10-21 00:00:00",29632,64360.95
"2021-10-22 00:00:00",25658,61874.2
"2021-10-23 00:00:00",20503,60719.27
"2021-10-24 00:00:00",19520,60505.3
"2021-10-25 00:00:00",26519,62184.16
"2021-10-26 00:00:00",26894,61579.36
"2021-10-27 00:00:00",27204,59800.59
"2021-10-28 00:00:00",27150,60198.76
"2021-10-29 00:00:00",26617,61618.71
"2021-10-30 00:00:00",21646,61572.95
"2021-10-31 00:00:00",20636,61221.32
"2021-11-01 00:00:00",28768,61018.6
"2021-11-02 00:00:00",26440,62480.53
"2021-11-03 00:00:00",26782,62305.71
"2021-11-04 00:00:00",27378,61924.35
"2021-11-05 00:00:00",27264,61705.57
"2021-11-06 00:00:00",22462,60862.51
"2021-11-07 00:00:00",20969,62358.07
"2021-11-08 00:00:00",29362,65529.12
"2021-11-09 00:00:00",32161,67413.34
"2021-11-10 00:00:00",31169,66087.45
"2021-11-11 00:00:00",27343,64858.02
"2021-11-12 00:00:00",27172,63890.51
"2021-11-13 00:00:00",21714,64187.16
"2021-11-14 00:00:00",20691,64562.7
"2021-11-15 00:00:00",27538,64889
"2021-11-16 00:00:00",30680,61180.12
"2021-11-17 00:00:00",28322,59701.57
"2021-11-18 00:00:00",29400,58749.99
"2021-11-19 00:00:00",28435,57029.48
"2021-11-20 00:00:00",23123,58676.27
"2021-11-21 00:00:00",20617,59317.13
"2021-11-22 00:00:00",27021,57532.5
"2021-11-23 00:00:00",26529,56679.68
"2021-11-24 00:00:00",26753,56820.11
"2021-11-25 00:00:00",26412,58246.84
"2021-11-26 00:00:00",29714,56388.75
"2021-11-27 00:00:00",21850,54492.8
"2021-11-28 00:00:00",20766,55455.66
"2021-11-29 00:00:00",28563,57825.47
"2021-11-30 00:00:00",27505,57578.83
"2021-12-01 00:00:00",29231,57801.26
"2021-12-02 00:00:00",26779,56629.94
"2021-12-03 00:00:00",27241,55066.19
"2021-12-04 00:00:00",27900,48717.13
"2021-12-05 00:00:00",21029,48802.47
"2021-12-06 00:00:00",27246,49123.11
"2021-12-07 00:00:00",26149,51018.3
"2021-12-08 00:00:00",24561,49963.73
"2021-12-09 00:00:00",26880,49088.57
"2021-12-10 00:00:00",24471,48518.63
"2021-12-11 00:00:00",18379,48166.96
"2021-12-12 00:00:00",17484,49748.5
"2021-12-13 00:00:00",26321,48007.97
"2021-12-14 00:00:00",23662,47493.02
"2021-12-15 00:00:00",22096,48031.01
"2021-12-16 00:00:00",22611,48498.78
"2021-12-17 00:00:00",22082,46754.7
"2021-12-18 00:00:00",17650,46439.8
"2021-12-19 00:00:00",16037,47372.98
"2021-12-20 00:00:00",22446,46541.11
"2021-12-21 00:00:00",24052,47997.96
"2021-12-22 00:00:00",21960,49020.92
"2021-12-23 00:00:00",21807,49722.57
"2021-12-24 00:00:00",21558,51156.46
"2021-12-25 00:00:00",17808,50679.06
"2021-12-26 00:00:00",16024,50384.66
"2021-12-27 00:00:00",22938,51280.36
"2021-12-28 00:00:00",23219,49018.16
"2021-12-29 00:00:00",22444,47126.57
"2021-12-30 00:00:00",22347,46941.09
"2021-12-31 00:00:00",22148,47119.33
"2022-01-01 00:00:00",15029,47073.16
"2022-01-02 00:00:00",15704,47322.72
"2022-01-03 00:00:00",21137,46639.89
"2022-01-04 00:00:00",22962,46558.7
"2022-01-05 00:00:00",21580,44789.02
"2022-01-06 00:00:00",24325,43124
"2022-01-07 00:00:00",22782,41944.61
"2022-01-08 00:00:00",17857,41420.57
"2022-01-09 00:00:00",17406,42018.9
"2022-01-10 00:00:00",22993,40959.34
"2022-01-11 00:00:00",21713,42200.88
"2022-01-12 00:00:00",21514,43382.46
"2022-01-13 00:00:00",21735,43388.71
"2022-01-14 00:00:00",21402,42626.25
"2022-01-15 00:00:00",17639,43200.88
"2022-01-16 00:00:00",17030,43050.64
"2022-01-17 00:00:00",20360,42384.86
"2022-01-18 00:00:00",20772,41991.89
"2022-01-19 00:00:00",20923,41860.06
"2022-01-20 00:00:00",21381,42038.73
"2022-01-21 00:00:00",25084,38305.54
"2022-01-22 00:00:00",21957,35471.1
"2022-01-23 00:00:00",16044,35593.79
"2022-01-24 00:00:00",23230,35229.96
"2022-01-25 00:00:00",21219,36643.7
"2022-01-26 00:00:00",21287,37603.14
"2022-01-27 00:00:00",19534,36393.37
"2022-01-28 00:00:00",20181,37098.92
"2022-01-29 00:00:00",17234,38035.87
"2022-01-30 00:00:00",16193,37871.02
"2022-01-31 00:00:00",20572,37715.25
"2022-02-01 00:00:00",21172,38657.52
"2022-02-02 00:00:00",20322,37767
"2022-02-03 00:00:00",19509,36840.99
"2022-02-04 00:00:00",19294,39399.01
"2022-02-05 00:00:00",18858,41458.85
"2022-02-06 00:00:00",16308,41911.93
"2022-02-07 00:00:00",22948,43103.94
"2022-02-08 00:00:00",23752,44094.02
"2022-02-09 00:00:00",21082,44008.56
"2022-02-10 00:00:00",21476,44545.72
"2022-02-11 00:00:00",20452,42980.75
"2022-02-12 00:00:00",16009,42408.76
"2022-02-13 00:00:00",14425,42336.83
"2022-02-14 00:00:00",18672,42219.28
"2022-02-15 00:00:00",19767,43611.97
"2022-02-16 00:00:00",19363,43972.06
"2022-02-17 00:00:00",19458,42145.96
"2022-02-18 00:00:00",20795,40238.68
"2022-02-19 00:00:00",16285,40064.67
"2022-02-20 00:00:00",15352,39081.48
"2022-02-21 00:00:00",18842,38178.93
"2022-02-22 00:00:00",19401,37414.97
"2022-02-23 00:00:00",17720,38172.17
"2022-02-24 00:00:00",22107,36766.01
"2022-02-25 00:00:00",20994,38876.89
"2022-02-26 00:00:00",15948,39416.89
"2022-02-27 00:00:00",16246,38450.81
"2022-02-28 00:00:00",22854,40713.61
"2022-03-01 00:00:00",23689,43888.3
"2022-03-02 00:00:00",21867,44228.85
"2022-03-03 00:00:00",20317,42965.82
"2022-03-04 00:00:00",20042,40571.1
"2022-03-05 00:00:00",16748,39124.7
"2022-03-06 00:00:00",15007,38910.29
"2022-03-07 00:00:00",20793,38364.07
"2022-03-08 00:00:00",19687,38633.38
"2022-03-09 00:00:00",21784,40621.96
"2022-03-10 00:00:00",20298,40448.5
"2022-03-11 00:00:00",19168,39241.59
"2022-03-12 00:00:00",14802,39055.27
"2022-03-13 00:00:00",13652,38443.99
"2022-03-14 00:00:00",18473,38684.71
"2022-03-15 00:00:00",18811,39061.83
"2022-03-16 00:00:00",20646,40285.89
"2022-03-17 00:00:00",19439,41011.22
"2022-03-18 00:00:00",19001,41240.52
"2022-03-19 00:00:00",16597,41958.58
"2022-03-20 00:00:00",13919,41638.28
"2022-03-21 00:00:00",19292,41032.8
"2022-03-22 00:00:00",20719,42105.65
"2022-03-23 00:00:00",19940,42414.07
"2022-03-24 00:00:00",19376,43442.19
"2022-03-25 00:00:00",20874,44370.88
"2022-03-26 00:00:00",15794,44459.67
"2022-03-27 00:00:00",15217,45673.01
"2022-03-28 00:00:00",23544,47438.84
"2022-03-29 00:00:00",21928,47536.77
"2022-03-30 00:00:00",20826,47148.8
"2022-03-31 00:00:00",21498,46410.14
"2022-04-01 00:00:00",21241,45491.43
"2022-04-02 00:00:00",17096,46432
"2022-04-03 00:00:00",15505,46499.09
"2022-04-04 00:00:00",20889,46014.87
"2022-04-05 00:00:00",18995,46285.25
"2022-04-06 00:00:00",21127,44324.04
"2022-04-07 00:00:00",20302,43330.58
"2022-04-08 00:00:00",20072,43052.91
"2022-04-09 00:00:00",15745,42474.54
"2022-04-10 00:00:00",14470,42682.04
"2022-04-11 00:00:00",20783,40826.13
"2022-04-12 00:00:00",20152,39970.4
"2022-04-13 00:00:00",19501,40564.96
"2022-04-14 00:00:00",19287,40545.35
"2022-04-15 00:00:00",16519,40289.98
